date,time edt,temp c,spcond (ms/cm),ph,do (mg/l),do (%),turbidity (fnu),chlorophyll (rfu),phycocyanin (rfu),sysbattery
05/08/2019,14:00:00,15.1,.53,7.06,9.8,97.55,1.88,1.8,.41,14.2
05/08/2019,14:15:00,15.12,.53,7.07,9.83,97.86,1.9,1.89,.45,14.29
05/08/2019,14:30:00,15.16,.53,7.1,9.85,98.17,1.81,2.04,.47,14.23
05/08/2019,14:45:00,15.12,.53,7.11,9.81,97.64,1.82,1.86,.43,14.26
05/08/2019,15:00:00,15.22,.53,7.1,9.86,98.37,1.86,1.9,.41,14.25
05/08/2019,15:15:00,15.24,.53,7.08,9.87,98.5,1.82,1.83,.41,14.2
05/08/2019,15:30:00,15.28,.53,7.09,9.89,98.77,1.83,2,.45,14.17
05/08/2019,15:45:00,15.17,.54,7.1,9.79,97.59,1.8,1.85,.39,14.12
05/08/2019,16:00:00,15.19,.54,7.11,9.81,97.8,1.82,1.88,.4,14.15
05/08/2019,16:15:00,15.15,.54,7.1,9.78,97.48,1.82,1.63,.38,14.06
05/08/2019,16:30:00,15.27,.53,7.08,9.84,98.27,1.76,1.76,.39,14.09
05/08/2019,16:45:00,14.98,.54,7.06,9.67,95.95,1.76,1.71,.32,14.14
05/08/2019,17:00:00,15.03,.54,7.1,9.74,96.82,1.82,1.58,.35,14.04
05/08/2019,17:15:00,15.09,.54,7.12,9.82,97.68,1.83,1.64,.36,14.05
05/08/2019,17:30:00,15.08,.54,7.11,9.76,97.08,1.81,1.6,.34,14.12
05/08/2019,17:45:00,14.99,.54,7.11,9.76,96.94,1.7,1.94,.32,14.03
05/08/2019,18:00:00,14.95,.54,7.13,9.73,96.57,1.76,1.44,.32,14.15
05/08/2019,18:15:00,14.73,.54,7.04,9.61,94.92,1.8,1.36,.28,14.13
05/08/2019,18:30:00,14.61,.54,7.07,9.58,94.33,1.71,1.37,.29,14.12
05/08/2019,18:45:00,14.49,.54,7.03,9.49,93.21,1.84,1.3,.26,14.09
05/08/2019,19:00:00,14.38,.54,7.01,9.38,91.91,1.79,1.2,.24,12.89
05/08/2019,19:15:00,14.58,.54,7.06,9.54,93.87,1.66,1.27,.3,12.52
05/08/2019,19:30:00,14.29,.54,7.05,9.34,91.32,1.68,1.19,.24,12.5
05/08/2019,19:45:00,14.37,.54,7.07,9.43,92.42,1.68,1.24,.25,12.47
05/08/2019,20:00:00,14.37,.54,7.06,9.47,92.8,1.53,1.27,.26,12.39
05/08/2019,20:15:00,14.39,.55,7.08,9.46,92.69,1.62,1.35,.27,12.38
