date,time edt,temp c,spcond (ms/cm),ph,do (mg/l),do (%),turbidity (fnu),chlorophyll (rfu),phycocyanin (rfu),est. cyano (cells/ml),est.chl a (ug/l)
05/12/2021,10:30,14.58,.74,7.31,8.97,88.4,1.88,.73,-.29,5600,-1
05/12/2021,10:45,14.6,.74,7.3,8.95,88.2,2.01,.69,-.25,7300,-.8
05/12/2021,11:00,14.66,.74,7.29,8.94,88.2,1.9,.57,-.27,6100,-.9
05/12/2021,11:15,14.61,.74,7.29,8.98,88.5,1.9,.71,-.3,6100,-.9
05/12/2021,11:30,14.65,.74,7.29,8.97,88.4,2.09,.7,-.26,6100,-.8
05/12/2021,11:45,14.76,.74,7.3,8.98,88.8,1.96,.68,-.29,6900,-1
05/12/2021,12:00,14.89,.74,7.3,9.01,89.3,1.94,.65,-.28,7200,-1
05/12/2021,12:15,14.99,.74,7.29,8.98,89.2,1.91,.64,-.28,6800,-1
05/12/2021,12:30,15.25,.75,7.28,8.96,89.5,1.77,.53,-.3,6800,-1
05/12/2021,12:45,15.21,.74,7.28,8.97,89.6,1.8,.52,-.3,6300,-1.1
05/12/2021,13:00,15.27,.75,7.29,9.06,90.6,1.91,.72,-.29,6400,-1.1
05/12/2021,13:15,15.42,.75,7.29,9.06,90.8,1.79,.61,-.27,6400,-1.1
05/12/2021,13:30,15.56,.74,7.32,9.24,93,1.96,.57,-.28,6400,-1.2
05/12/2021,13:45,15.59,.74,7.31,9.19,92.5,1.79,.6,-.3,5000,-1.3
05/12/2021,14:00,15.73,.75,7.31,9.15,92.3,1.74,.47,-.3,3500,-1.4
05/12/2021,14:15,15.81,.74,7.34,9.32,94.3,1.89,.77,-.23,3500,-1.4
05/12/2021,14:30,15.59,.75,7.3,9.18,92.4,1.98,.82,-.26,4700,-1.3
05/12/2021,14:45,15.47,.75,7.33,9.32,93.6,2.04,1.12,-.21,6100,-1
05/12/2021,15:00,15.53,.75,7.35,9.4,94.5,2.03,1.07,-.22,6800,-.8
05/12/2021,15:15,15.52,.75,7.34,9.39,94.4,1.98,.98,-.23,7900,-.3
05/12/2021,15:30,15.82,.74,7.4,9.64,97.5,1.98,1.11,-.23,8200,.2
05/12/2021,15:45,15.55,.74,7.39,9.63,96.8,2.07,1.41,-.16,8200,.5
05/12/2021,16:00,15.71,.74,7.39,9.61,96.9,2.01,1.3,-.17,8600,.8
05/12/2021,16:15,15.71,.74,7.37,9.51,96,1.95,1.09,-.23,8600,.8
05/12/2021,16:30,15.62,.74,7.37,9.52,95.9,2.01,1.21,-.2,9000,.9
05/12/2021,16:45,15.47,.74,7.37,9.53,95.7,2.11,1.44,-.19,9000,1.1
05/12/2021,17:00,15.56,.74,7.39,9.63,96.8,2.02,1.31,-.2,9000,1.5
05/12/2021,17:15,15.57,.74,7.4,9.64,97,1.97,1.15,-.23,9000,1.5
05/12/2021,17:30,15.61,.74,7.39,9.62,96.8,2.05,1.14,-.22,9100,1.5
05/12/2021,17:45,15.41,.74,7.35,9.51,95.3,2.02,1.19,-.22,9100,1.2
05/12/2021,18:00,15.35,.73,7.35,9.46,94.8,2.02,1.04,-.25,9200,1
05/12/2021,18:15,15.11,.73,7.29,9.24,92.1,2.05,.91,-.26,9200,1
05/12/2021,18:30,15.11,.73,7.28,9.26,92.2,2.08,.95,-.25,9600,.9
05/12/2021,18:45,15.24,.73,7.34,9.45,94.4,2.04,1.09,-.26,9500,.7
05/12/2021,19:00,15.26,.73,7.34,9.44,94.3,2.06,.93,-.26,9900,.4
05/12/2021,19:15,15.27,.72,7.32,9.36,93.6,1.98,.93,-.26,9900,.2
05/12/2021,19:30,15.37,.72,7.39,9.68,96.9,2.1,1.64,-.22,9900,.2
05/12/2021,19:45,15.52,.73,7.37,9.58,96.2,1.86,1.14,-.25,9900,.2
05/12/2021,20:00,15.53,.73,7.39,9.63,96.8,1.92,1.24,-.22,9900,.2
05/12/2021,20:15,15.51,.73,7.41,9.72,97.6,1.89,1.52,-.23,9000,.6
