date,time edt,temp c,spcond (ms/cm),ph,do (mg/l),do (%),turbidity (fnu),chlorophyll (rfu),phycocyanin (rfu),est. cyano (cells/ml),est.chl a (ug/l)
05/02/2023,13:30,13.97,.74,7.48,9.49,92.2,2.69,.77,-.33,26400,-1.3
05/02/2023,13:45,13.97,.73,7.47,9.44,91.7,2.84,.78,-.37,28300,-1.5
05/02/2023,14:00,13.98,.73,7.47,9.43,91.7,2.59,.81,-.35,26400,-1.4
05/02/2023,14:15,13.98,.73,7.47,9.44,91.8,2.72,.81,-.33,26800,-1.3
05/02/2023,14:30,13.97,.74,7.47,9.4,91.3,2.71,.77,-.34,26900,-1.3
05/02/2023,14:45,13.96,.74,7.47,9.38,91.2,2.68,.76,-.36,26600,-1.4
05/02/2023,15:00,13.96,.74,7.47,9.42,91.6,2.69,.8,-.37,26400,-1.4
05/02/2023,15:15,13.95,.74,7.47,9.37,91,2.64,.79,-.35,26400,-1.4
05/02/2023,15:30,13.96,.74,7.47,9.39,91.2,2.66,.86,-.36,26200,-1.5
05/02/2023,15:45,13.95,.74,7.47,9.36,90.9,2.6,.76,-.39,25900,-1.5
05/02/2023,16:00,13.94,.74,7.46,9.31,90.4,2.62,.76,-.35,25900,-1.5
05/02/2023,16:15,13.98,.75,7.48,9.44,91.7,2.72,.94,-.35,25900,-1.5
05/02/2023,16:30,14.2,.75,7.5,9.57,93.5,2.43,1.03,-.32,25300,-1.5
05/02/2023,16:45,14.21,.75,7.5,9.63,94.1,2.66,1.14,-.34,25300,-1.3
05/02/2023,17:00,14.19,.75,7.5,9.59,93.6,2.57,1.08,-.31,24800,-1.1
05/02/2023,17:15,14.15,.74,7.51,9.66,94.2,2.49,1.08,-.32,24300,-.8
05/02/2023,17:30,14.14,.75,7.49,9.52,92.9,2.5,.98,-.33,23700,-.6
05/02/2023,17:45,14.1,.75,7.48,9.52,92.7,2.58,1.02,-.34,23400,-.6
05/02/2023,18:00,14.06,.74,7.49,9.6,93.4,2.73,1.09,-.33,23400,-.4
05/02/2023,18:15,14.05,.72,7.48,9.57,93.2,2.67,.88,-.32,23400,-.4
05/02/2023,18:30,14.05,.71,7.48,9.55,92.9,2.71,.94,-.32,24600,-.4
05/02/2023,18:45,14.03,.69,7.47,9.51,92.5,2.81,.82,-.34,24700,-.6
05/02/2023,19:00,14.01,.67,7.46,9.47,92.1,2.94,.74,-.36,26400,-.7
05/02/2023,19:15,14,.67,7.46,9.46,92,2.71,.91,-.34,26900,-.9
05/02/2023,19:30,14,.67,7.45,9.41,91.5,2.74,.8,-.34,27100,-1
05/02/2023,19:45,13.99,.67,7.46,9.44,91.7,2.75,.9,-.34,27500,-1
05/02/2023,20:00,13.99,.67,7.45,9.42,91.5,2.77,1.37,-.33,27800,-1
05/02/2023,20:15,13.98,.67,7.45,9.4,91.3,2.98,.89,-.34,28200,-1
05/02/2023,20:30,13.98,.67,7.45,9.4,91.3,2.76,.88,-.33,28300,-1
05/02/2023,20:45,13.97,.67,7.45,9.38,91.1,2.72,.76,-.33,28000,-1
05/02/2023,21:00,13.95,.68,7.45,9.41,91.4,3.05,.98,-.33,28000,-1
05/02/2023,21:15,13.95,.68,7.45,9.41,91.4,3.07,1,-.35,28300,-1
05/02/2023,21:30,13.94,.68,7.45,9.39,91.2,2.82,1.05,-.34,29100,-.8
05/02/2023,21:45,13.93,.68,7.45,9.39,91.2,2.86,.89,-.35,30200,-.8
05/02/2023,22:00,13.92,.68,7.44,9.37,90.9,2.82,.76,-.34,30200,-1
05/02/2023,22:15,13.91,.68,7.44,9.34,90.7,2.75,.87,-.34,29700,-1
05/02/2023,22:30,13.9,.67,7.44,9.32,90.4,2.68,.73,-.35,29700,-1.1
05/02/2023,22:45,13.92,.67,7.43,9.27,90,2.58,.69,-.34,29700,-1.1
05/02/2023,23:00,13.9,.67,7.43,9.28,90,2.66,.71,-.34,28800,-1.2
05/02/2023,23:15,13.9,.67,7.44,9.29,90.1,2.59,.77,-.34,27000,-1.4
05/02/2023,23:30,13.9,.68,7.44,9.33,90.5,2.86,.89,-.34,27000,-1.4
05/02/2023,23:45,13.89,.68,7.44,9.34,90.6,2.6,.94,-.33,25900,-1.4
05/03/2023,00:00,13.89,.68,7.44,9.32,90.4,2.8,.82,-.33,25900,-1.3
05/03/2023,00:15,13.88,.68,7.43,9.29,90.1,2.73,1.06,-.32,25900,-1.3
05/03/2023,00:30,13.86,.68,7.44,9.35,90.6,2.56,1.2,-.3,24800,-1.1
05/03/2023,00:45,13.87,.68,7.44,9.33,90.5,2.59,.91,-.29,24800,-.9
05/03/2023,01:00,13.86,.68,7.44,9.34,90.5,2.58,1.05,-.3,23900,-.8
05/03/2023,01:15,13.87,.69,7.43,9.29,90.1,2.92,1.19,-.31,25700,-.5
05/03/2023,01:30,13.85,.69,7.42,9.17,88.9,2.53,.96,-.31,23900,-.4
05/03/2023,01:45,13.85,.69,7.44,9.28,89.9,2.6,1.17,-.31,23900,-.2
05/03/2023,02:00,13.85,.7,7.44,9.32,90.3,2.52,.93,-.33,23700,-.2
05/03/2023,02:15,13.84,.7,7.44,9.3,90.2,2.48,1,-.3,23300,-.3
05/03/2023,02:30,13.84,.7,7.44,9.29,90,2.61,.97,-.29,23700,-.4
05/03/2023,02:45,13.84,.7,7.44,9.3,90.1,2.58,1.01,-.3,23600,-.3
05/03/2023,03:00,13.83,.7,7.43,9.23,89.4,2.6,1.09,-.31,23800,-.4
05/03/2023,03:15,13.8,.7,7.43,9.18,88.9,2.83,.92,-.31,23800,-.4
05/03/2023,03:30,13.8,.7,7.43,9.21,89.2,2.51,1.02,-.31,23800,-.4
05/03/2023,03:45,13.79,.7,7.43,9.19,88.9,2.43,1.05,-.26,22800,-.3
05/03/2023,04:00,13.78,.7,7.42,9.15,88.5,2.43,.78,-.31,22700,-.3
